ImageName: train_16_dist24.png, Down: 473, Right: 440.0, Distance: 21.82267441860465
ImageName: train_20_dist8.png, Down: 497, Right: 181.0, Distance: 7.610514414923686
ImageName: train_1_dist30.png, Down: 434, Right: 313.5, Distance: 26.25714285714286
ImageName: train_29_dist5.png, Down: 571, Right: 313.5, Distance: 6.699378096342363
ImageName: train_7_dist10.png, Down: 588, Right: 454.0, Distance: 9.532830523513754
ImageName: train_2_dist10.png, Down: 475, Right: 158.0, Distance: 26.945887445887447
ImageName: train_26_dist30.png, Down: 427, Right: 482.0, Distance: 31.114583333333332
ImageName: train_31_dist10.png, Down: 614, Right: 304.0, Distance: 81.4375
ImageName: train_22_dist7.png, Down: 352, Right: 482.0, Distance: 6.77116935483871
ImageName: train_12_dist8.png, Down: 501, Right: 428.5, Distance: 7.611134691567629
ImageName: train_25_dist19.png, Down: 406, Right: 146.5, Distance: 57.93939393939394
ImageName: train_17_dist8.png, Down: 510, Right: 343.0, Distance: 115.66666666666666
ImageName: train_19_dist15.png, Down: 413, Right: 428.0, Distance: 13.827192164179104
ImageName: train_4_dist5.png, Down: 318, Right: 167.5, Distance: 5.259739391914467
ImageName: train_14_dist16.png, Down: 551, Right: 328.0, Distance: 14.378787878787879
ImageName: train_27_dist30.png, Down: 420, Right: 98.0, Distance: 24.476608187134502
ImageName: train_15_dist3.png, Down: 489, Right: 421.0, Distance: 3.2915079365079363
ImageName: train_13_dist6.png, Down: 493, Right: 427.5, Distance: 5.643861147782869
ImageName: train_21_dist10.png, Down: 396, Right: 317.5, Distance: 9.905777990889476
ImageName: train_5_dist25.png, Down: 400, Right: 133.5, Distance: 22.648496240601503
ImageName: train_6_dist10.png, Down: 800, Right: 194.0, Distance: 6.702468487394958
ImageName: test_3.png, Down: 456, Right: 318.5, Distance: 8.113387978142077
ImageName: test_2.png, Down: 537, Right: 472.5, Distance: 4.007233592095977
ImageName: test_1.png, Down: 525, Right: 230.5, Distance: 8.360091069330199
ImageName: test_5.png, Down: 455, Right: 263.0, Distance: 7.706839213418161
ImageName: test_4.png, Down: 421, Right: 301.0, Distance: 20.65625
